issue_id,when,action,what,user,milestone
14,2017-02-21T06:46:41Z,labeled,feature,user1,
14,2017-02-21T06:47:37Z,labeled,help wanted,user1,
14,2017-02-21T06:47:37Z,unlabeled,feature,user1,
18,2017-02-23T17:17:10Z,labeled,enhancement,user2,Explore feasibility of automatic posts to Twitter and Facebook page
23,2017-03-10T17:51:27Z,labeled,feature,user1,
22,2017-03-10T17:45:37Z,labeled,bug,user1,
16,2017-02-23T17:14:55Z,labeled,feature,user2,Get Server Side framework up and running
5,2017-02-18T15:38:16Z,labeled,Meeting,user2,
7,2017-02-18T15:38:26Z,labeled,Meeting,user2,
11,2017-02-18T15:45:44Z,labeled,Feature,user2,Get Server Side framework up and running
6,2017-02-18T15:37:59Z,labeled,Meeting,user2,
