issue_id,when,action,what,user,milestone
17,2017-04-19T15:44:04Z,labeled,note,user1,Technical Design
21,2017-03-18T15:17:15Z,labeled,core,user2,
21,2017-03-18T15:17:15Z,labeled,easy,user2,
14,2017-04-19T15:43:42Z,labeled,note,user1,Second Round Developing and Testing
1,2017-04-19T15:40:29Z,labeled,note,user2,First Round Developing and Testing
1,2017-04-19T15:40:53Z,unlabeled,note,user1,First Round Developing and Testing
1,2017-04-19T15:40:53Z,labeled,help wanted,user1,First Round Developing and Testing
1,2017-04-19T15:40:54Z,unlabeled,help wanted,user2,First Round Developing and Testing
1,2017-04-19T15:40:54Z,labeled,note,user2,First Round Developing and Testing
1,2017-04-19T15:40:54Z,labeled,core,user2,First Round Developing and Testing
6,2017-04-19T15:41:59Z,labeled,core,user1,
20,2017-03-15T14:24:45Z,labeled,enhancement,user2,First Round Developing and Testing
20,2017-03-15T14:24:45Z,labeled,help wanted,user2,First Round Developing and Testing
8,2017-04-19T15:42:39Z,labeled,enhancement,user1,First Round Developing and Testing
18,2017-04-19T15:42:18Z,labeled,bug,user2,
19,2017-03-10T14:58:22Z,labeled,help wanted,user2,Prototype Design
13,2017-02-21T20:18:49Z,labeled,medium,user3,Technical Design
15,2017-02-24T21:33:40Z,labeled,question,user3,First Round Developing and Testing
15,2017-02-24T21:33:40Z,labeled,help wanted,user3,First Round Developing and Testing
16,2017-02-28T00:57:36Z,labeled,help wanted,user2,Feedback and Adjustment 
12,2017-02-20T03:59:41Z,labeled,help wanted,user1,First Round Developing and Testing
9,2017-02-07T22:10:16Z,labeled,hard,user2,Prototype Design
4,2017-02-06T16:08:59Z,labeled,medium,user3,Technical Design
4,2017-02-06T16:08:59Z,labeled,core,user3,Technical Design
5,2017-02-06T16:09:29Z,labeled,hard,user3,Technical Design
5,2017-02-06T16:09:29Z,labeled,core,user3,Technical Design
7,2017-02-06T16:18:57Z,labeled,core,user4,
7,2017-02-06T16:19:06Z,labeled,question,user4,
7,2017-02-06T16:19:34Z,unlabeled,core,user4,
10,2017-02-19T17:54:28Z,labeled,note,user3,First Round Developing and Testing
2,2017-02-06T16:08:45Z,labeled,easy,user3,Prototype Design
2,2017-02-06T16:08:45Z,labeled,core,user3,Prototype Design
3,2017-02-06T16:08:31Z,labeled,medium,user3,Prototype Design
3,2017-02-06T16:08:31Z,labeled,core,user3,Prototype Design
11,2017-02-19T18:07:17Z,labeled,help wanted,user3,Feedback and Adjustment 
