issue_id,when,action,what,user,milestone
7,2017-04-20T02:30:04Z,labeled,invalid,user1,
19,2017-04-20T02:14:11Z,labeled,Working,user1,
6,2017-04-20T02:26:06Z,labeled,Topics,user1,
10,2017-04-20T02:28:07Z,labeled,Meeting,user1,
13,2017-04-20T02:29:27Z,labeled,PPT/Report,user1,20 20 Project Presentation
16,2017-04-20T02:16:21Z,labeled,Working,user1,Completion of other 2 methods
20,2017-04-20T02:13:14Z,labeled,help wanted,user1,
2,2017-04-20T02:16:54Z,labeled,invalid,user1,
24,2017-04-20T02:10:53Z,labeled,bug,user1,
15,2017-04-20T02:27:22Z,labeled,Meeting,user1,Brain Storming of ideas and finalizing the three ways 
3,2017-04-20T02:23:00Z,labeled,help wanted,user1,
9,2017-04-20T02:28:33Z,labeled,Topics,user1,
12,2017-04-20T02:29:40Z,labeled,PPT/Report,user1,Project Report
22,2017-04-20T02:12:35Z,labeled,Testing,user1,
8,2017-04-20T02:29:10Z,labeled,Meeting,user1,
4,2017-04-20T02:22:31Z,labeled,wontfix,user1,
23,2017-04-20T02:08:44Z,labeled,enhancement,user1,
21,2017-04-20T02:12:55Z,labeled,enhancement,user1,
11,2017-04-20T02:27:53Z,labeled,Meeting,user1,Paper link sharing by 9 pm 
25,2017-04-20T02:06:39Z,labeled,question,user1,
14,2017-04-20T02:27:35Z,labeled,Meeting,user1,
5,2017-04-20T02:25:04Z,labeled,Literature,user1,
18,2017-02-14T17:18:18Z,labeled,help wanted,user1,
17,2017-02-08T15:38:42Z,labeled,help wanted,user1,Completion of the Interface and implementation of 1st method
1,2017-01-15T22:37:51Z,labeled,question,user1,
