issue_id,when,action,what,user,milestone
16,2017-02-23T17:14:55Z,labeled,feature,user1,Get Server Side framework up and running
18,2017-02-23T17:17:10Z,labeled,enhancement,user1,Explore feasibility of automatic posts to Twitter and Facebook page
11,2017-02-18T15:45:44Z,labeled,Feature,user1,Get Server Side framework up and running
5,2017-02-18T15:38:16Z,labeled,Meeting,user1,
22,2017-03-10T17:45:37Z,labeled,bug,user2,
23,2017-03-10T17:51:27Z,labeled,feature,user2,
6,2017-02-18T15:37:59Z,labeled,Meeting,user1,
7,2017-02-18T15:38:26Z,labeled,Meeting,user1,
14,2017-02-21T06:46:41Z,labeled,feature,user2,
14,2017-02-21T06:47:37Z,labeled,help wanted,user2,
14,2017-02-21T06:47:37Z,unlabeled,feature,user2,
