issue_id,when,action,what,user,milestone
1,2017-04-19T02:36:36Z,labeled,requirement,user2,
2,2017-04-19T02:36:50Z,labeled,requirement,user2,
3,2017-04-19T02:36:57Z,labeled,requirement,user2,
4,2017-02-14T22:37:25Z,labeled,enhancement,user2,
5,2017-02-14T22:39:00Z,labeled,enhancement,user2,
6,2017-02-14T22:38:55Z,labeled,enhancement,user2,
7,2017-02-14T22:38:49Z,labeled,enhancement,user2,
8,2017-02-15T08:28:56Z,labeled,bug,user1,
13,2017-02-18T08:22:09Z,labeled,question,user1,
14,2017-02-20T07:11:09Z,labeled,bug,user1,
17,2017-02-23T14:27:11Z,labeled,enhancement,user2,
18,2017-02-28T17:55:36Z,labeled,enhancement,user2,
19,2017-03-09T00:25:10Z,labeled,enhancement,user1,Demo Day
20,2017-03-09T19:38:09Z,labeled,bug,user1,Demo Day
24,2017-03-27T01:21:53Z,labeled,bug,user1,
